1,guest_information,"first_name,last_name.",greeting.,"submit,cancel.",first_name:First Name.last_name:Last Name.greeting:Greeting.submit:Submit.cancel:Cancel.,"first_name,last_name.greeting.submit,cancel.","first_name,last_name.greeting.submit,cancel.","first_name,last_name,greeting,(submit,cancel).",,
2,login,"user_name,password.",,submit.,user_name:Username.password:Password.submit:Login.,"user_name,password.submit.","user_name,password.submit.","user_name,password,submit.",,webmail.itenas
3,login2,"user_id,password,process_state.",,submit.,user_id:Email or Phone.password:Password.process_state:Keep me logged in.submit:Log In.,"user_id,password.process_state.submit.","user_id,password.process_state.submit.","(user_id,password,submit),process_state.",,facebook.com
4,registration,"first_name,last_name,user_id,re_user_id,password,birth_date,gender.",,submit.,"first_name:First name.last_name:Last name.user_id:Email or Mobile Number.re_user_id:Reenter Email or Mobile Number.password:New password.birth_date:Birthday.gender:xngender,Female,Male.submit:Sign Up.","first_name,last_name.user_id,re_user_id.password.birth_date,gender.submit.","first_name,last_name.user_id,re_user_id.password.birth_date,gender.submit.","(first_name,last_name),user_id,re_user_id,password,birth_date,gender,submit.",,facebook.com
5,registration2,"first_name,last_name,email,password,agree.",,submit.,first_name:First name.last_name:Last name.email:Email.password:Password.agree:I agree to Dropbox terms.submit:Sign up for free.,"first_name,last_name,email,password.agree.submit.","first_name,last_name,email,password.agree.submit.","(first_name,last_name),email,password,agree,submit.",,dropbox.com
6,booking_ticket,"origin,destination,departure_date,arrival_date,ticket,number_of_person.",,submit.,"origin:Dari.destination:Ke.departure_date:Berangkat.arrival_date:Kembali.number_of_person:Penumpang.ticket:Sekali jalan,Kembali.submit:Cari Penerbangan.","origin,destination.departure_date,arrival_date.ticket,number_of_person.submit.","origin,destination.departure_date,arrival_date.ticket,number_of_person.submit.","(origin,destination).(departure_date,arrival_date).(ticket,number_of_person).submit.",,tiket2.com
7,ordering,"telcom_operator,price_dd,phone.",price_text.,submit.,"telcom_operator:xnPilih Operator,Telkomsel,Indosat,XL-Axis,Smartfren,Tri.price_dd:xnHarga Nominal,25,50,100.phone:Nomor Tujuan.price_text:Harga Pulsa.submit:Beli.","telcom_operator,price_dd.phone.price_text.submit.","telcom_operator,price_dd.phone.price_text.submit.","(telcom_operator,price_dd),price_text,phone,submit.",,kaskus.co.id
8,booking_hotel1,"destination,check_in_date,duration,check_out_date.",,submit.,destination:Kota Tujuan atau Nama Hotel.check_in_date:Check In.duration:Berapa Malam?.check_out_date:Check Out.submit:Cari Hotel.,"destination.check_in_date,duration,check_out_date.submit.","destination.check_in_date,duration,check_out_date.submit.","destination.(check_in_date,duration,check_out_date.submit).",,traveloka.com
9,logins,"user_name,password,icaptcha.",ocaptcha,submit.,user_name:username.password:password.icaptcha:validation.ocaptcha:gambar.submit:Masuk.,"user_name,password.icaptcha,ocaptcha.submit.","user_name,password.icaptcha,ocaptcha.submit.","user_name,password.(icaptcha,ocaptcha).submit.",,
10,booking_hotel2,"destination,check_in_date,check_out_date,traveling_option,rooms,adults,children.",,submit.,"destination:Destination/Hotel Name.check_in_date:Check In.check_out_date:Check Out.traveling_option:xnTraveling for,Work,Leisure.rooms:xnRooms,1,2,3,4.adults:xnAdults,1,2,3,4.children:xnChildren,1,2,3,4.submit:Search.","destination.check_in_date,check_out_date.traveling_option.rooms,adults,children.submit","destination.check_in_date,check_out_date.traveling_option.rooms,adults,children.submit","destination,(check_in_date,check_out_date),traveling_option,(rooms,adults,children),submit.",,booking.com 14 mei 16
11,booking_ticket2,"origin,destination,departure_date,arrival_date,number_of_person.",,submit.,origin:Dari.destination:Ke.departure_date:Berangkat.arrival_date:Kembali.number_of_person:Penumpang.submit:Cari.,"origin,destination.departure_date,arrival_date.number_of_person.submit.","origin,destination.departure_date,arrival_date.number_of_person.submit.","(origin,destination).(departure_date,arrival_date).number_of_person.submit.",,ticket.com
12,booking_ticket3,"ticket,origin,destination,departure_date,arrival_date,number_of_person.",,submit.,"ticket:Sekali jalan,Pulang Pergi.origin:Dari.destination:Ke.departure_date:Berangkat.arrival_date:Kembali.number_of_person:Penumpang.submit:Cari.","ticket.origin,destination.departure_date,arrival_date.number_of_person.submit.","ticket.origin,destination.departure_date,arrival_date.number_of_person.submit.","ticket.(origin,destination,departure_date,arrival_date,number_of_person).submit.",,bukalapak.com
